======EDUCATION=====
Приморский край,52
Псковская область,53
Ростовская область,54
Рязанская область,55
Самарская область,56
Санкт-Петербург,57
Саратовская область,58
Сахалинская область,59
Свердловская область,60
Северная Осетия,61
Смоленская область,62
Ставропольский край,63
Тамбовская область,64
Татарстан,65
Тверская область,66
Томская область,67
Тульская область,68
Тюменская область,69
Удмуртия,70
Ульяновская область,71
Усть-Ордынский Бурятский АО,72
Хабаровский край,73
Хакасия,74
Ханты-Мансийский АО,75
Челябинская область,76
Чечня,77
Читинская область,78
Чувашия,79
Эвенкийский АО,80
Якутия,81
Ямало-Ненецкий АО,82
Ярославская область,83
======POSTAL_ADDRESS_PROVINCE=====
Агинский Бурятский АО,1
Адыгея,2
Алтайский край,3
Амурская область,4
Архангельская область,5
Астраханская область,6
Башкирия,7
Белгородская область,8
Брянская область,9
Бурятия,10
Владимирская область,11
Волгоградская область,12
Вологодская область,13
Воронежская область,14
Горный Алтай,15
Дагестан,16
Еврейская АО,17
Ивановская область,18
Иркутская область,19
Кабардино-Балкария,20
Калининградская область,21
Калмыкия,22
Калужская область,23
Камчатская область,24
Карачаево-Черкесия,25
Карелия,26
Кемеровская область,27
Кировская область,28
Коми,29
Коми-Пермяцкий АО,30
Костромская область,31
Краснодарский край,32
Красноярский край,33
Курганская область,34
Курская область,35
Ленинградская область,36
Липецкая область,37
Магаданская область,38
Марийская республика,39
Мордовская республика,40
Москва,41
Московская область,42
Мурманская область,43
Нижегородская область,44
Новгородская область,45
Новосибирская область,46
Омская область,47
Оренбургская область,48
Орловская область,49
Пензенская область,50
Пермская область,51
Приморский край,52
Псковская область,53
Ростовская область,54
Рязанская область,55
Самарская область,56
Санкт-Петербург,57
Саратовская область,58
Сахалинская область,59
Свердловская область,60
Северная Осетия,61
Смоленская область,62
Ставропольский край,63
Тамбовская область,64
Татарстан,65
Тверская область,66
Томская область,67
Тульская область,68
Тюменская область,69
Удмуртия,70
Ульяновская область,71
Усть-Ордынский Бурятский АО,72
Хабаровский край,73
Хакасия,74
Ханты-Мансийский АО,75
Челябинская область,76
Читинская область,77
Чувашия,78
Эвенкийский АО,79
Якутия,80
Ямало-Ненецкий АО,81
Ярославская область,82
======TP_PROVINCE=====
nan,0
Адыгея,1
Алтайский край,2
Амурская область,3
Архангельская область,4
Астраханская область,5
Башкирия,6
Белгородская область,7
Брянская область,8
Бурятия,9
Владимирская область,10
Волгоградская область,11
Вологодская область,12
Воронежская область,13
Горный Алтай,14
Еврейская АО,15
Ивановская область,16
Иркутская область,17
Кабардино-Балкария,18
Калининградская область,19
Калужская область,20
Камчатская область,21
Карелия,22
Кемеровская область,23
Кировская область,24
Коми,25
Костромская область,26
Краснодарский край,27
Красноярский край,28
Курганская область,29
Курская область,30
Липецкая область,31
Магаданская область,32
Марийская республика,33
Мордовская республика,34
Москва,35
Мурманская область,36
Нижегородская область,37
Новгородская область,38
Новосибирская область,39
Омская область,40
Оренбургская область,41
Орловская область,42
Пензенская область,43
Пермская область,44
Приморский край,45
Псковская область,46
Ростовская область,47
Рязанская область,48
Самарская область,49
Санкт-Петербург,50
Саратовская область,51
Сахалинская область,52
Свердловская область,53
Смоленская область,54
Ставропольский край,55
Тамбовская область,56
Татарстан,57
Тверская область,58
Томская область,59
Тульская область,60
Тюменская область,61
Удмуртия,62
Ульяновская область,63
Хабаровский край,64
Ханты-Мансийский АО,65
Челябинская область,66
Читинская область,67
Чувашия,68
Якутия,69
Ярославская область,70
======REGION_NM=====
nan,0
ВОСТОЧНО-СИБИРСКИЙ,1
ДАЛЬНЕВОСТОЧНЫЙ,2
ЗАПАДНО-СИБИРСКИЙ,3
ПОВОЛЖСКИЙ,4
ПРИВОЛЖСКИЙ,5
СЕВЕРО-ЗАПАДНЫЙ,6
УРАЛЬСКИЙ,7
ЦЕНТРАЛЬНЫЙ 1,8
ЦЕНТРАЛЬНЫЙ 2,9
ЦЕНТРАЛЬНЫЙ ОФИС,10
ЮЖНЫЙ,11
======sample=====
test,1
train,2
